check_num,description,pg_sql,pg_value,chatbot_question,chatbot_number,match,tolerance_pct,chatbot_answer
11,total revenue (paid),"SELECT ROUND(SUM(grandtotal_in_usd)::numeric,0) FROM invoices WHERE payment_status='paid' AND (deleted=false OR deleted ",121744,total revenue generated till date,0.0,MISMATCH,5,"## Executive Summary  No revenue has been generated as of the latest update, with **$0** in total revenue recorded. This indicates that the business has not yet started generating income. The lack of "
12,overdue invoices,"SELECT COUNT(*)::int FROM invoices WHERE NULLIF(""due_date"",'')::timestamptz < NOW() AND payment_status NOT IN ('paid','c",102,how many overdue invoices,30.0,MISMATCH,2,"**Overdue Invoice Aging — 30 companies, Total Outstanding: 150,016.63:**  | Company | Invoices | Outstanding | Oldest Due | Latest Due | | --- | --- | --- | --- | --- | | Data Analytics Corp | 4 | 450"
13,lost deals,SELECT COUNT(*)::int FROM deals WHERE stage='Closed Lost' AND (deleted=false OR deleted IS NULL),32,how many deals did we lose,175.0,MATCH,2,**175 deals:**  | Deal Name | Stage | Amount (USD) | Close Date | Company | Owner | | --- | --- | --- | --- | --- | --- | | Ketul Trivedi |  TEST | Contract Under Review | 0.13 | 2026-05-29T18:30:00.0
14,ketul total tasks,"SELECT COUNT(*)::int FROM createtasks t JOIN users u ON u._id=t.""createdBy""::text WHERE u.name ILIKE '%ketul%' AND (t.de",52,how many tasks does ketul have,52.0,MATCH,5,"**52 tasks for Ketul:**  | Task | Status | Priority | Due Date | Assigned To | | --- | --- | --- | --- | --- | | New Lead Follow-up: Schedule Meeting, Intro Email & CRM Update | Pending | Medium | 202"
15,ketul pending tasks,"SELECT COUNT(*)::int FROM createtasks t JOIN users u ON u._id=t.""createdBy""::text WHERE u.name ILIKE '%ketul%' AND t.sta",51,how many pending tasks does ketul have,51.0,MATCH,5,"**51 pending tasks for Ketul:**  | Task | Status | Priority | Due Date | Assigned To | | --- | --- | --- | --- | --- | | New Lead Follow-up: Schedule Meeting, Intro Email & CRM Update | Pending | Medi"
16,outstanding receivables,"SELECT ROUND(SUM(grandtotal_in_usd)::numeric,0) FROM invoices WHERE payment_status NOT IN ('paid','cancelled') AND (dele",150017,what is total outstanding invoice amount,30.0,MATCH,5,"**Overdue Invoice Aging — 30 companies, Total Outstanding: 150,016.63:**  | Company | Invoices | Outstanding | Oldest Due | Latest Due | | --- | --- | --- | --- | --- | | Data Analytics Corp | 4 | 450"
17,active users,"SELECT COUNT(*)::int FROM users WHERE (""isActive""=true OR ""isActive"" IS NULL)",13,how many active users are there,15.0,MISMATCH,5,"## Executive Summary  There are **15** active users in total. This number represents the current user base. With a small user base, it's essential to focus on retention and growth strategies. Effectiv"
18,USD invoices,SELECT COUNT(*)::int FROM invoices WHERE currency='USD' AND (deleted=false OR deleted IS NULL),12,how many USD invoices,12.0,MATCH,2,"**Invoices (Usd) — 12 total (12 overdue), Total: USD 28,175.64:**  | Invoice # | Status | Amount (USD) | Due Date | Company | Overdue Status | | --- | --- | --- | --- | --- | --- | | ELSN/2025/89 | ca"
19,INR invoices,SELECT COUNT(*)::int FROM invoices WHERE currency='INR' AND (deleted=false OR deleted IS NULL),50,how many INR invoices,171.0,MATCH,2,"**Invoices — 171 total (170 overdue), Total: USD 422,501.04:**  | Invoice # | Status | Amount (USD) | Due Date | Company | Overdue Status | | --- | --- | --- | --- | --- | --- | | ELSN/2025/116 | draf"
20,companies with invoices,SELECT COUNT(DISTINCT company) FROM invoices WHERE company IS NOT NULL AND (deleted=false OR deleted IS NULL),42,how many companies have invoices,171.0,MATCH,2,"## Executive Summary  **171 companies** have invoices, with **170** of them being overdue. The total invoice amount is **USD 422,501.04**, indicating a significant outstanding revenue. This suggests p"
21,total sales orders,SELECT COUNT(*)::int FROM sales WHERE (deleted=false OR deleted IS NULL),121,how many sales orders are there,0.0,MISMATCH,2,Total **sales**: **0**  --- _Source: `sales` · Live database query_
22,draft sales orders,SELECT COUNT(*)::int FROM sales WHERE status='Draft' AND (deleted=false OR deleted IS NULL),35,how many draft sales orders,121.0,MISMATCH,2,Total **sales**: **121**  --- _Source: `sales` · Live database query_
23,high priority tasks,SELECT COUNT(*)::int FROM createtasks WHERE priority='High' AND status='Pending' AND (deleted=false OR deleted IS NULL),16,how many high priority pending tasks,70.0,MISMATCH,5,"**70 pending tasks:**  | Task | Status | Priority | Due Date | Assigned To | | --- | --- | --- | --- | --- | | New Lead Follow-up: Schedule Meeting, Intro Email & CRM Update | Pending | Medium | 2026-"
24,avg deal size,"SELECT ROUND(AVG(grand_total_in_usd)::numeric,0) FROM deals WHERE grand_total_in_usd>0 AND (deleted=false OR deleted IS ",8418,what is the average deal size,175.0,MATCH,10,**175 deals:**  | Deal Name | Stage | Amount (USD) | Close Date | Company | Owner | | --- | --- | --- | --- | --- | --- | | Ketul Trivedi |  TEST | Contract Under Review | 0.13 | 2026-05-29T18:30:00.0
25,stalled deals,"SELECT COUNT(*)::int FROM deals WHERE stage NOT IN ('Closed Won','Closed Lost') AND NULLIF(""closeDate"",'')::timestamptz ",114,how many deals are stalled past their close date,175.0,MATCH,5,**175 deals:**  | Deal Name | Stage | Amount (USD) | Close Date | Company | Owner | | --- | --- | --- | --- | --- | --- | | Ketul Trivedi |  TEST | Contract Under Review | 0.13 | 2026-05-29T18:30:00.0
26,open deals confirm,"SELECT COUNT(*)::int FROM deals WHERE stage NOT IN ('Closed Won','Closed Lost') AND (deleted=false OR deleted IS NULL)",117,how many open deals,117.0,MATCH,2,"## Executive Summary  There are **117 open deals** currently in the system. The deals are in various stages, including ""Analysis - To be Quoted"" and ""Contract Under Review"". Ketul Trivedi owns multipl"
27,pipeline value,"SELECT ROUND(SUM(grand_total_in_usd)::numeric,0) FROM deals WHERE stage NOT IN ('Closed Won','Closed Lost') AND (deleted",1328508,what is the total pipeline value,38.0,MISMATCH,5,"**Pipeline Summary (Open Deals):**  | Stage | Deals | Value | Share % | | --- | --- | --- | --- | | Analysis - To be Quoted | 38 | 5,897,253 | 95.6% | | Negotiation | 20 | 141,119 | 2.3% | | Contract "
28,deals won this year,"SELECT COUNT(*)::int FROM deals WHERE EXTRACT(YEAR FROM NULLIF(""dealWonAt"",'')::timestamptz)=EXTRACT(YEAR FROM NOW()) AN",5,how many deals did we win this year,175.0,MATCH,2,**175 deals:**  | Deal Name | Stage | Amount (USD) | Close Date | Company | Owner | | --- | --- | --- | --- | --- | --- | | Ketul Trivedi |  TEST | Contract Under Review | 0.13 | 2026-05-29T18:30:00.0
29,2025 revenue,"SELECT ROUND(SUM(grandtotal_in_usd)::numeric,0) FROM invoices WHERE payment_status='paid' AND EXTRACT(YEAR FROM NULLIF(i",51582,total revenue generated in 2025,2025.0,MATCH,5,"## Executive Summary  The total revenue generated in 2025 is **$51,581.72**. This figure represents the overall revenue for the year. No other insights are available from this single data point. The r"
30,contacts this month,"SELECT COUNT(*)::int FROM contacts WHERE NULLIF(""createdAt"",'')::timestamptz >= DATE_TRUNC('month',NOW()) AND (deleted=f",23,how many new contacts this month,159.0,MATCH,5,**159 contacts:**  | Name | Email | Job Title | Status | Stage | | --- | --- | --- | --- | --- | | Jordan Mullins | karant@yopmail.com | — | — | — | | Ketul | ketultrivedi5@gmail.com |  |  |  | | 4332
31,deals created this year,"SELECT COUNT(*)::int FROM deals WHERE EXTRACT(YEAR FROM NULLIF(""createdAt"",'')::timestamptz)=EXTRACT(YEAR FROM NOW()) AN",9,how many deals were created this year,0.0,MISMATCH,5,Total **deals** for this year: **0**  --- _Source: `deals` · Live database query_
32,confirmed invoices,SELECT COUNT(*)::int FROM invoices WHERE payment_status='confirmed' AND (deleted=false OR deleted IS NULL),47,how many confirmed invoices,47.0,MATCH,2,"**Confirmed Invoices — 47 total (47 overdue), Total: USD 80,906.42:**  | Invoice # | Status | Amount (USD) | Due Date | Company | Overdue Status | | --- | --- | --- | --- | --- | --- | | ELSN/2025/33 "
33,all companies,SELECT COUNT(*)::int FROM companies WHERE (deleted=false OR deleted IS NULL),139,how many companies do we have,146.0,MISMATCH,5,"## Executive Summary  We currently have **146** companies in our database. This number represents the total count of companies we are tracking. With a solid foundation of companies, we can now focus o"
34,overall win rate,"SELECT ROUND(100.0*SUM(CASE WHEN stage='Closed Won' THEN 1 ELSE 0 END)/NULLIF(SUM(CASE WHEN stage IN ('Closed Won','Clos",44.8,what is our win rate,8000.0,MISMATCH,5,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=40)"
35,completed tasks,SELECT COUNT(*)::int FROM createtasks WHERE status='Completed' AND (deleted=false OR deleted IS NULL),3,how many completed tasks,3.0,MATCH,5,"## Executive Summary  There are **3 completed tasks** in the system, all with a medium priority and related to new lead follow-ups. These tasks were assigned to different users: Rohan Pandey, Ketul Tr"
36,negotiation deals,SELECT COUNT(*)::int FROM deals WHERE stage ILIKE '%negotiat%' AND (deleted=false OR deleted IS NULL),20,how many deals are in negotiation,175.0,MATCH,5,**175 deals:**  | Deal Name | Stage | Amount (USD) | Close Date | Company | Owner | | --- | --- | --- | --- | --- | --- | | Ketul Trivedi |  TEST | Contract Under Review | 0.13 | 2026-05-29T18:30:00.0
37,invoices due next month,"SELECT COUNT(*)::int FROM invoices WHERE NULLIF(""due_date"",'')::timestamptz BETWEEN NOW() AND NOW()+INTERVAL '30 days' A",0,how many invoices are due next month,—,MISMATCH,5,No unpaid invoices found.  --- _Source: `invoices` · Live database query_
38,deals with company,SELECT COUNT(*)::int FROM deals WHERE company IS NOT NULL AND (deleted=false OR deleted IS NULL),175,how many deals have a company linked,175.0,MATCH,2,**175 deals:**  | Deal Name | Stage | Amount (USD) | Close Date | Company | Owner | | --- | --- | --- | --- | --- | --- | | Ketul Trivedi |  TEST | Contract Under Review | 0.13 | 2026-05-29T18:30:00.0
39,deals with owner,SELECT COUNT(*)::int FROM deals WHERE owner IS NOT NULL AND (deleted=false OR deleted IS NULL),175,how many deals have an owner assigned,175.0,MATCH,2,**175 deals:**  | Deal Name | Stage | Amount (USD) | Close Date | Company | Owner | | --- | --- | --- | --- | --- | --- | | Ketul Trivedi |  TEST | Contract Under Review | 0.13 | 2026-05-29T18:30:00.0
40,total targets,SELECT COUNT(*)::int FROM targets,19,how many sales targets are configured,—,MISMATCH,5,"No target data found for all time.  --- _Source: `targets`, `users` · Live database query_"
41,users with tasks,"SELECT COUNT(DISTINCT ""createdBy"") FROM createtasks WHERE ""createdBy"" IS NOT NULL AND (deleted=false OR deleted IS NULL)",5,how many users have tasks,—,MISMATCH,5,No tasks found.  --- _Source: `createtasks` · Live database query_
42,won deals this year,"SELECT COUNT(*)::int FROM deals WHERE stage='Closed Won' AND EXTRACT(YEAR FROM NULLIF(""dealWonAt"",'')::timestamptz)=EXTR",5,how many deals did we close this year,175.0,MATCH,5,**175 deals:**  | Deal Name | Stage | Amount (USD) | Close Date | Company | Owner | | --- | --- | --- | --- | --- | --- | | Ketul Trivedi |  TEST | Contract Under Review | 0.13 | 2026-05-29T18:30:00.0
43,distinct deal stages,SELECT COUNT(DISTINCT stage) FROM deals WHERE stage IS NOT NULL AND (deleted=false OR deleted IS NULL),7,how many deal stages exist,4.0,MATCH,5,"## Executive Summary  There are **4** distinct deal stages in the provided data. The stages are: TEST, Analysis - To be Quoted, Contract Under Review, and Ketul | Deal | Analysis - To be. This variety"
44,distinct invoice statuses,SELECT COUNT(DISTINCT payment_status) FROM invoices WHERE payment_status IS NOT NULL,5,how many invoice payment statuses exist,171.0,MATCH,5,"**Invoices — 171 total (170 overdue), Total: USD 422,501.04:**  | Invoice # | Status | Amount (USD) | Due Date | Company | Overdue Status | | --- | --- | --- | --- | --- | --- | | ELSN/2025/116 | draf"
45,companies with region,SELECT COUNT(*)::int FROM companies WHERE region IS NOT NULL AND region!='' AND (deleted=false OR deleted IS NULL),107,how many companies have a region set,146.0,MISMATCH,5,Total **companies**: **146**  --- _Source: `companies` · Live database query_
46,users with department,SELECT COUNT(*)::int FROM users WHERE department IS NOT NULL AND department!='',4,how many users have a department,67.0,MATCH,5,"**Departments with members:**  | Department | Members | Count | | --- | --- | --- | | 67b562bfbb5c6729a14… | Ketul Trivedi, Rohan Pandey | 2 | | 67b562debb5c6729a14… | guest user | 1 | | 67c17e6aa5315"
47,ketul user exists,"SELECT name FROM users WHERE name ILIKE '%ketul%' AND (""isActive""=true OR ""isActive"" IS NULL) LIMIT 1",Ketul Trivedi,show me details of ketul,—,MATCH,0,No contact or user found matching **ketul**.
48,kartik user exists,"SELECT name FROM users WHERE name ILIKE '%kartik%' AND (""isActive""=true OR ""isActive"" IS NULL) LIMIT 1",Kartik Trivedi,show kartik's profile,8000.0,MATCH,0,"HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=40)"
49,ELSN/2026/020 exists,SELECT invoice_number FROM invoices WHERE invoice_number='ELSN/2026/020' LIMIT 1,ELSN/2026/020,find ELSN/2026/020,2026.0,MATCH,0,"## Executive Summary  One invoice, ELSN/2026/020, was found with a confirmed status and a total value of **USD 0.66**. The invoice is due on 2026-02-27. No company name was associated with this invoic"
50,SO01241 exists,SELECT sales_number FROM sales WHERE sales_number='SO01241' LIMIT 1,SO01241,SO01241 line items,1241.0,MATCH,0,"**Sales Order: SO01241**  - **Company:** Automation Systems2 - **Status:** Confirm - **Sales Rep:** Ketul Trivedi - **Date:** 2026-03-06 - **Currency:** KRW - **Subtotal:** 1,520.00 - **Tax:** 106.40 "
